symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2010-01-04 00:00:00+00:00,173.08,174.25,169.51,170.05,9135000,146.0985418066,147.0861503917,143.0850694571,143.540888804,9135000,0.0,1.0
GS,2010-01-05 00:00:00+00:00,176.14,176.26,172.57,173.0,11659400,148.6815181061,148.7828112943,145.6680457566,146.0310130144,11659400,0.0,1.0
GS,2010-01-06 00:00:00+00:00,174.26,175.38,173.76,175.38,7381100,147.0945914907,148.0399945807,146.6725365398,148.0399945807,7381100,0.0,1.0
GS,2010-01-07 00:00:00+00:00,177.67,178.75,173.95,174.32,8727400,149.9730062559,150.8846449499,146.8329174211,147.1452380848,8727400,0.0,1.0
GS,2010-01-08 00:00:00+00:00,174.31,177.43,173.95,176.33,7268100,147.1367969858,149.7704198795,146.8329174211,148.8418989875,7268100,0.0,1.0
GS,2010-01-11 00:00:00+00:00,171.56,175.06,170.52,175.06,7704900,144.8154947558,147.7698794121,143.9376204579,147.7698794121,7704900,0.0,1.0
GS,2010-01-12 00:00:00+00:00,167.82,170.48,167.03,170.01,10360100,141.658523723,143.9038560618,140.9916769006,143.507124408,10360100,0.0,1.0
GS,2010-01-13 00:00:00+00:00,169.07,169.67,166.12,168.01,11269500,142.7136611003,143.2201270414,140.2235368899,141.8189046043,11269500,0.0,1.0
GS,2010-01-14 00:00:00+00:00,168.53,170.72,167.2125,168.0,10521400,142.2578417533,144.1064424383,141.1457269576,141.8104635053,10521400,0.0,1.0
GS,2010-01-15 00:00:00+00:00,165.21,167.8,164.58,167.6,10896300,139.4553968792,141.641641525,138.9236076411,141.4728195446,10896300,0.0,1.0
GS,2010-01-19 00:00:00+00:00,166.86,167.3975,163.9,165.01,7705300,140.8481782172,141.3018872895,138.3496129079,139.2865748989,7705300,0.0,1.0
GS,2010-01-20 00:00:00+00:00,167.79,168.18,164.32,165.8,8893900,141.6332004259,141.9624032876,138.7041390666,139.9534217213,8893900,0.0,1.0
GS,2010-01-21 00:00:00+00:00,160.87,171.0,156.77,169.29,51738300,135.7919599054,144.3427932108,132.3311093079,142.8993652787,51738300,0.0,1.0
GS,2010-01-22 00:00:00+00:00,154.12,159.75,152.25,158.69,30175600,130.0942180681,134.8465568153,128.5157325517,133.9518003194,30175600,0.0,1.0
GS,2010-01-25 00:00:00+00:00,154.98,158.3,154.5,156.13,17877000,130.8201525837,133.6225974577,130.4149798308,131.7908789707,17877000,0.0,1.0
GS,2010-01-26 00:00:00+00:00,150.88,156.5,150.7,154.91,15985900,127.3593019862,132.1031996344,127.2073622039,130.7610648905,15985900,0.0,1.0
GS,2010-01-27 00:00:00+00:00,151.5,152.93,148.27,150.75,19899000,127.8826501253,129.0897272849,125.1561751425,127.249567699,19899000,0.0,1.0
GS,2010-01-28 00:00:00+00:00,153.29,155.2,149.95,154.23,16160700,129.3936068496,131.0058567621,126.5742797775,130.1870701573,16160700,0.0,1.0
GS,2010-01-29 00:00:00+00:00,148.72,154.88,147.81,154.44,18502800,125.5360245983,130.7357415935,124.7678845876,130.3643332367,18502800,0.0,1.0
GS,2010-02-01 00:00:00+00:00,153.13,155.25,149.21,149.82,12980800,129.2585492653,131.0480622571,125.9496384502,126.4645454903,12980800,0.0,1.0
GS,2010-02-02 00:00:00+00:00,156.94,157.5,153.65,153.65,17246600,132.4746079912,132.9473095362,129.6974864142,129.6974864142,17246600,0.0,1.0
GS,2010-02-03 00:00:00+00:00,157.23,159.94,157.11,157.92,16785200,132.7193998627,135.0069376967,132.6181066745,133.301835695,16785200,0.0,1.0
GS,2010-02-04 00:00:00+00:00,150.68,156.06,150.45,155.27,18895000,127.1904800058,131.7317912776,126.9963347284,131.0649444552,18895000,0.0,1.0
GS,2010-02-05 00:00:00+00:00,154.16,154.46,148.87,150.815,18759200,130.1279824642,130.3812154347,125.6626410836,127.3044348426,18759200,0.0,1.0
GS,2010-02-08 00:00:00+00:00,151.1,154.6,150.82,154.27,10257300,127.5450061646,130.499390821,127.3086553921,130.2208345534,10257300,0.0,1.0
GS,2010-02-09 00:00:00+00:00,152.49,153.53,149.65,152.7,14017300,128.7183189281,129.596193226,126.321046807,128.8955820075,14017300,0.0,1.0
GS,2010-02-10 00:00:00+00:00,153.63,155.35,151.76,152.77,10555300,129.6806042162,131.1324732473,128.1021186998,128.9546697006,10555300,0.0,1.0
GS,2010-02-11 00:00:00+00:00,154.05,155.32,152.25,154.4,11163400,130.035130375,131.1071499503,128.5157325517,130.3305688406,11163400,0.0,1.0
GS,2010-02-12 00:00:00+00:00,153.93,154.5,151.14,152.37,10293200,129.9338371867,130.4149798308,127.5787705607,128.6170257399,10293200,0.0,1.0
GS,2010-02-16 00:00:00+00:00,157.4,157.74,154.6,155.3,11497100,132.8628985461,133.1498959127,130.499390821,131.0902677522,11497100,0.0,1.0
GS,2010-02-17 00:00:00+00:00,157.26,158.19,155.81,158.0,10070000,132.7447231598,133.5297453685,131.5207638022,133.3693644871,10070000,0.0,1.0
