symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MS,2010-01-04 00:00:00+00:00,30.91,31.968,30.63,30.7,20371000,25.5183303959,26.3917821448,25.2871711429,25.3449609562,20371000,0.0,1.0
MS,2010-01-05 00:00:00+00:00,32.04,32.13,30.93,31.01,22523400,26.4512230956,26.5255242841,25.5348417711,25.600887272,22523400,0.0,1.0
MS,2010-01-06 00:00:00+00:00,32.45,32.59,31.79,31.97,17028500,26.7897062875,26.9052859141,26.2448309054,26.3934332824,17028500,0.0,1.0
MS,2010-01-07 00:00:00+00:00,32.92,33.27,32.27,32.46,18693000,27.1777236051,27.4666726714,26.6411039106,26.7979619752,18693000,0.0,1.0
MS,2010-01-08 00:00:00+00:00,32.25,32.82,31.98,32.6,15993400,26.6245925354,27.095166729,26.40168897,26.9135416017,15993400,0.0,1.0
MS,2010-01-11 00:00:00+00:00,32.04,32.462,31.76,32.39,10088500,26.4512230956,26.7996131127,26.2200638426,26.7401721619,10088500,0.0,1.0
MS,2010-01-12 00:00:00+00:00,31.13,31.86,30.99,31.63,14813400,25.6999555233,26.3026207187,25.5843758968,26.1127399037,14813400,0.0,1.0
MS,2010-01-13 00:00:00+00:00,31.26,32.0,30.71,31.09,18715500,25.8072794622,26.4182003452,25.3532166438,25.6669327729,18715500,0.0,1.0
MS,2010-01-14 00:00:00+00:00,31.2,31.301,30.35,31.1,24690000,25.7577453366,25.8411277814,25.0560118899,25.6751884605,24690000,0.0,1.0
MS,2010-01-15 00:00:00+00:00,30.38,31.09,29.98,30.97,27908700,25.0807789527,25.6669327729,24.7505514484,25.5678645216,27908700,0.0,1.0
MS,2010-01-19 00:00:00+00:00,31.16,31.26,30.33,30.48,16979500,25.7247225861,25.8072794622,25.0395005147,25.1633358288,16979500,0.0,1.0
MS,2010-01-20 00:00:00+00:00,30.63,31.24,30.35,30.76,21198800,25.2871711429,25.790768087,25.0560118899,25.3944950818,21198800,0.0,1.0
MS,2010-01-21 00:00:00+00:00,29.34,30.55,28.24,30.29,56774400,24.2221874415,25.221125642,23.3140618046,25.0064777642,56774400,0.0,1.0
